language,topic,user_query,bot_response,intent,source
en,account_balance,Why is my balance incorrect?,Your current balance is $2958.,account_balance,local_generation
en,loan_query,What documents are needed for a car loan?,"Current interest rates:
- Personal: 8.3%
- Home: 7.8%
- Auto: 7.3%",loan_query,local_generation
en,card_issues,How do I block a lost card?,"For card issues, please call our 24/7 support at 1-800-BANK-HELP.",card_issues,local_generation
en,loan_query,What documents are needed for a car loan?,"Current interest rates:
- Personal: 4.9%
- Home: 4.4%
- Auto: 3.9%",loan_query,local_generation
en,card_issues,How do I block a lost card?,"For card issues, please call our 24/7 support at 1-800-BANK-HELP.",card_issues,local_generation
en,fund_transfer,Why did my transfer fail?,You can transfer money via our mobile app or online banking.,fund_transfer,local_generation
en,loan_query,What documents are needed for a car loan?,"Current interest rates:
- Personal: 7.5%
- Home: 7.0%
- Auto: 6.5%",loan_query,local_generation
en,loan_query,How do I apply for a personal loan?,"Current interest rates:
- Personal: 5.0%
- Home: 4.5%
- Auto: 4.0%",loan_query,local_generation
en,fund_transfer,What's the daily transfer limit?,You can transfer money via our mobile app or online banking.,fund_transfer,local_generation
en,transaction_dispute,Why was I charged twice?,Dispute case #112203 has been opened. Resolution in 10 business days.,transaction_dispute,local_generation
en,transaction_dispute,How do I report fraud?,Dispute case #286883 has been opened. Resolution in 10 business days.,transaction_dispute,local_generation
en,account_balance,Why is my balance incorrect?,Your current balance is $6377.,account_balance,local_generation
en,fund_transfer,How do I send money to another bank?,You can transfer money via our mobile app or online banking.,fund_transfer,local_generation
en,account_balance,What's my current balance?,Your current balance is $1539.,account_balance,local_generation
en,loan_query,What documents are needed for a car loan?,"Current interest rates:
- Personal: 7.4%
- Home: 6.9%
- Auto: 6.4%",loan_query,local_generation
en,fund_transfer,How do I send money to another bank?,You can transfer money via our mobile app or online banking.,fund_transfer,local_generation
en,transaction_dispute,I see an unauthorized transaction.,Dispute case #481438 has been opened. Resolution in 10 business days.,transaction_dispute,local_generation
en,card_issues,Why was my card declined?,"For card issues, please call our 24/7 support at 1-800-BANK-HELP.",card_issues,local_generation
en,card_issues,My debit card isn't working!,"For card issues, please call our 24/7 support at 1-800-BANK-HELP.",card_issues,local_generation
en,fund_transfer,What's the daily transfer limit?,You can transfer money via our mobile app or online banking.,fund_transfer,local_generation
